معیار;زیرمعیار;کد رویکرد;عنوان رویکرد;مصادیق مستندات;هدف رویکرد;فرایندهای مرتبط;اهداف و استراتژی های مرتبط;اهداف راهبردی مرتبط;شاخص‌های مرتبط از بانک شاخص‌ها;شرح جاری سازی;مستندات مرتبط
5. هدایت عملکرد و تحول;5-الف: هدایت عملکرد و مدیریت ریسک‌ها;5.1.5;شناسایی ریسک‌ها;گزارش شناسایی ریسک‌های استراتژیک، عملیاتی، مالی، زیست‌محیطی، ایمنی و منابع انسانی | مستندات مبتنی بر استاندارد ISO 31000;شناسایی ریسک های استراتژیک و عملیاتی فرایندی و مالی و زیست محیطی ایمنی شغلی و منابع انسانی مبتنی بر استاندارد ایزو 31000 ;مدیریت ریسک (MOP-133)| پایش-تحلیل و بهبود مستمر (MOP-112);شناسایی ریسک‌های استراتژیک| عملیاتی| مالی| زیست‌محیطی و ایمنی بر اساس ایزو 31000|مدیریت ریسک سازمانی;کاهش ریسک‌های سازمانی;احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | تعداد حوادث | زمان از دست رفته ناشی از حوادث و آسیب ها | تعداد جرحی | تعداد فوتی | نرخ جرح | نرخ فوتی | شاخص وضوح حادثه | رضایت مالکان، سرمایه‌گذاران و سهامداران از مدیریت ریسک، انطباق با تغییرات محیطی، سلامت مالی و اداری، حاکمیت سازمانی و روابط سازمان;;
5. هدایت عملکرد و تحول;5-الف: هدایت عملکرد و مدیریت ریسک‌ها;5.1.6;توسعه برنامه‌های مدیریت ریسک;پروژه‌ها و اقدامات کاهش پیامدهای ریسک | مستندات مدیریت ریسک و پیگیری اقدامات;اجرای پروژه ها و اقدامات به منظور کاهش پیامدهای ریسک ها و مدیریت ریسک ها;مدیریت ریسک (MOP-133)| مدیریت پروژه‌ها، نظارت بر اجرا (COP-232);اجرای پروژه‌ها و اقدامات کاهش ریسک|مدیریت ریسک سازمانی;کاهش ریسک‌های سازمانی;احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | وضعیت اجتناب از هزینه ها | درصد صرفه‌جویی در هزینه‌ها | تعداد حوادث | زمان از دست رفته ناشی از حوادث و آسیب ها | نمره عملکرد پروژه‌ها و فرآیندها | امتیاز تطابقات قانونی | درصد انطباق با مقررات | شاخص وضوح حادثه;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.1;پیش‌بینی چالش‌ها و فرصت‌ها;تحلیل بازار و روندها | گزارش پیش‌بینی چالش‌ها و فرصت‌های آینده;تحلیل و پیش‌بینی چالش‌ها و فرصت‌های آینده از طریق مطالعات بازار و تجزیه و تحلیل روندها.;رصد بازار و کشف فرصت (COP-211)| تحلیل داده‌ها (5.4.2);تحلیل روندها و مطالعات بازار|توسعه استراتژیک;افزایش توانمندی در مواجهه با تغییرات;نمره پیش‌بینی تغییرات محیط زیست و بازار | نمره تحلیل داده‌ها و روندهای فناوری | سهم بازار | رشد سهم بازار | سهم بازار نسبی | نرخ تبدیل مشتریان بالقوه به مشتریان حقیقی | هزینه خلق مشتریان جدید | درصد آمادگی سازمان برای پیش‌بینی مخاطرات و جنبه‌های زیست‌محیطی | توان رقابت سازمان در بازار نسبت به رقبا | جایگاه و اعتبار برند سازمان در مقایسه با رقبا;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.2;سازگاری مدل کسب‌وکار;مستندات به‌روزرسانی مدل کسب‌وکار | نتایج آزمون و خطا و تحلیل نتایج;به‌روزرسانی مدل کسب‌وکار بر اساس تغییرات بازار و نیازهای مشتری از طریق آزمون و خطا و تحلیل نتایج.;توسعه مدل کسب‌وکار (MOP-123)| مدیریت تغییر (MOP-136);به‌روزرسانی مدل کسب‌وکار بر اساس نتایج تحلیل و آزمون و خطا|توسعه استراتژیک;افزایش انطباق با بازار و نیاز مشتری;نمره بازسازی و تغییر ساختار | توسعه کسب‌وکار از طریق بازسازی، تغییر ساختار و افزودن سبد محصولات | نمره پیش‌بینی تغییرات محیط زیست و بازار | میانگین نمره تجربه کلی مشتری (CSAT) | سهم بازار | رشد سهم بازار | فروش (درآمد) | رشد فروش | سودآوری و پایداری مالی سازمان | ارزش افزوده ایجاد شده توسط سازمان;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.3;طراحی ساختار سازمانی;مستندات طراحی ساختار سازمانی مناسب | گزارش مشاوره‌ها و تغییرات اعمال شده;طراحی ساختار سازمانی مناسب برای تسهیل تحول و بهبود عملکرد از طریق مشاوره با کارشناسان.;طراحی ساختار سازمانی (MOP-114);طراحی ساختار مناسب برای تحول و بهبود عملکرد|توسعه ساختار سازمانی;بهبود کارایی سازمان;نمره بازسازی و تغییر ساختار | کارایی عملیاتی فرآیندها | بهره‌وری کل | بهره‌وری نیروی انسانی | تفویض اختیار و مسئولیت به کارکنان | هم‌سویی اهداف فردی، تیمی و سازمانی | اثربخشی کانال‌های ارتباطی بین کارکنان و مدیریت | نمره اثربخشی ارتباطات درون‌سازمانی | شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان | رضایت کارکنان;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.4;چابکی سازمانی;مستندات پیاده‌سازی روش‌های کاری چابک | گزارش آموزش‌ها و پروژه‌های افزایش انعطاف‌پذیری;پیاده‌سازی روش‌های کاری چابک برای افزایش انعطاف‌پذیری و سرعت در پاسخ به تغییرات از طریق فرایندها و پروژه ها و آموزش کارکنان.;پایش-تحلیل و بهبود مستمر (MOP-112)| مدیریت تغییر (MOP-136);پیاده‌سازی روش‌های کاری چابک| آموزش کارکنان|توسعه ساختار سازمانی;افزایش انعطاف‌پذیری و سرعت پاسخگویی;نمره بازسازی و تغییر ساختار | کارایی عملیاتی فرآیندها | چرخه زمانی اتمام درخواست | سرعت و کیفیت پاسخگویی و رسیدگی به درخواست‌ها و مشکلات مشتریان | رضایت از انعطاف‌پذیری در ارائه خدمات | میانگین نمره آموزش و توسعه کارکنان | میزان یادگیری و آموزش مستمر کارکنان | میزان خلاقیت و نوآوری کارکنان | تشویق خلاقیت و ابتکار در بین کارکنان | نمره اثربخشی ارتباطات درون‌سازمانی;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.5;سناریوپلنینگ;سناریوهای خوش‌بینانه، بدبینانه و میانه | تحلیل تاثیرات بر فرایندها، بازار و فروش | مستندات دستورالعمل‌های مدون;ایجاد سناریوهای مختلف خوش بینانه، بدبینانه و میانه و تحلیل تاثیرات محتمل بر فرایندها و بازار و فروش و غیره مطابق با دستورالعمل مدون;برنامه‌ریزی استراتژیک (MOP-111)| تحلیل داده‌ها (5.4.2);ایجاد سناریوهای مختلف و تحلیل تاثیرات آنها|توسعه استراتژیک;افزایش آمادگی در مواجهه با آینده;نمره پیش‌بینی تغییرات محیط زیست و بازار | نمره تحلیل داده‌ها و روندهای فناوری | درصد آمادگی سازمان برای پیش‌بینی مخاطرات و جنبه‌های زیست‌محیطی | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | فروش (درآمد) | رشد فروش | سهم بازار | رشد سهم بازار | کارایی عملیاتی فرآیندها;;
5. هدایت عملکرد و تحول;5-ب: تحول سازمان برای آینده;5.2.6;مدیریت تغییر;سازوکارهای مدیریت تغییر | مستندات فرایند و رویه‌های اجرایی مدیریت تغییر;ایجاد سازوکارهای مدیریت تغییر مطابق با فرایند و رویه های اجرایی مدون;مدیریت تغییر (MOP-136)| پایش-تحلیل و بهبود مستمر (MOP-112);ایجاد سازوکار مدیریت تغییر مطابق فرایندهای مدون|توسعه ساختار سازمانی;تسهیل فرآیندهای تغییر;نمره بازسازی و تغییر ساختار | میانگین نمره آموزش و توسعه کارکنان | میزان یادگیری و آموزش مستمر کارکنان | رضایت کارکنان | تعهد کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان | نرخ تغییر/ جابجایی کارکنان | کارایی عملیاتی فرآیندها | نمره اثربخشی ارتباطات درون‌سازمانی | شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.1;ایجاد فرهنگ نوآوری;گزارش رویدادهای نوآوری و تشویق ایده‌ها | مستندات ترویج فرهنگ نوآوری;ترویج فرهنگ نوآوری در سازمان از طریق برگزاری رویدادهای نوآوری و تشویق کارکنان به ارائه ایده‌های جدید.;مدیریت منابع انسانی (SOP-311)| برنامه‌های انگیزشی و پاداش‌دهی (SOP-314);برگزاری رویدادهای نوآوری| تشویق ایده‌های جدید|توسعه تحقیق و توسعه (R&D);توسعه فرهنگ نوآوری;میزان خلاقیت و نوآوری در سازمان | میزان خلاقیت و نوآوری کارکنان | تشویق خلاقیت و ابتکار در بین کارکنان | نرخ نوآوری در محصولات و خدمات | نمره نوآوری در محصولات و خدمات | توانمندی پایپلاین نوآوری | نرخ بازده سرمایه گذاری در حوزه نوآوری | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | رضایت از خلاقیت و نوآوری;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.2;نوآوری در تحقیق و توسعه;مستندات بهره‌برداری از نوآوری‌ها در بهبود فرآیندها و محصولات | گزارش فعالیت‌های R&D;شناسایی و بهره‌برداری از نوآوری‌های مؤثر در بهبود فرآیندها و محصولات از طریق تحقیق و توسعه.;تحقیق و توسعه (COP-241)| مدیریت فناوری (5.3.7);بهره‌برداری از نوآوری‌های بهبود فرآیندها و محصولات|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;نرخ نوآوری در محصولات و خدمات | نمره نوآوری در محصولات و خدمات | نرخ بازده سرمایه گذاری در حوزه نوآوری | توانمندی پایپلاین نوآوری | درصد نوآوری و تحقیق و توسعه محصولات | نسبت سرمایه‌گذاری تحقیق و توسعه | درصد موفقیت پروژه‌های تحقیق و توسعه | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده | استفاده از نوآوری‌ها برای بهبود فرآیندها، محصولات و خدمات ارائه شده به مشتریان | میزان نوآوری به کار رفته در بهبود فرآیندها و محصولات | توسعه محصولات و خدمات جدید | تعداد محصولات جدید ارائه‌شده;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.3;مشارکت اکوسیستم در نوآوری و فناوری;کانال‌های مشارکت کارکنان و ذی‌نفعان | گزارش جلسات ایده‌پردازی و کارگاه‌های مشترک;طراحی کانال‌های مؤثر برای مشارکت کارکنان و ذی‌نفعان در فرآیند نوآوری از طریق جلسات ایده‌پردازی و کارگاه‌های مشترک.;مدیریت دانش (SOP-326)| تحقیق و توسعه (COP-241);طراحی کانال‌های مشارکت کارکنان و ذی‌نفعان در نوآوری|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | درصد تعهد به فعالیت‌های هم‌آفرینی | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | انتقال دانش و تجربیات بین کارکنان | مدیریت دانش و اطلاعات سازمانی | رضایت از کار تیمی و مشارکت | رضایت از مشارکت در تصمیم‌گیری | میزان خلاقیت و نوآوری کارکنان | تشویق خلاقیت و ابتکار در بین کارکنان;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.4;هوش مصنوعی در طراحی;مستندات استفاده از ابزارهای هوش مصنوعی در طراحی | نمونه‌های کاربردی و نتایج حاصل;استفاده از ابزارهای هوش مصنوعی به عنوان دستیار و کمک مهندسی در طراحی  ;تحقیق و توسعه (COP-241)| فناوری اطلاعات و ارتباطات (SOP-326);استفاده از هوش مصنوعی در طراحی مهندسی|توسعه تحقیق و توسعه (R&D);توسعه فناوری‌های نوین;درصد اجرای فناوری‌های جدید | استفاده و توسعه فناوری‌های نوین | درصد استفاده از فناوری برای ایجاد ارزش پایدار | هزینه های فناوری اطلاعات به عنوان درصدی از درآمد | نرخ بازده سرمایه گذاری در حوزه نوآوری | استفاده از نوآوری‌ها برای بهبود فرآیندها، محصولات و خدمات ارائه شده به مشتریان | توسعه فناوری و اطلاعات | نسبت سازگاری با معماری سازمانی | استفاده از فناوری‌های نوین برای حل مشکلات زیست‌محیطی;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.5;مدلسازی اطلاعات ساختمانی BIM;مستندات نرم‌افزاری و دانش طراحی مبتنی بر BIM | گزارش مستندسازی سه‌بعدی و سیستم اطلاعات ساختمانی;استفاده از ابزارهای نرم افزاری و دانش طراحی و مستندسازی در معماری و شهرسازی مبتنی بر مدل سازی سه بعدی و سیستم اطلاعات ساختمانی;مدلسازی اطلاعات ساختمانی BIM (5.3.5)| تحقیق و توسعه (COP-241);استفاده از مدل‌سازی سه‌بعدی و سیستم اطلاعات ساختمانی|توسعه تحقیق و توسعه (R&D);توسعه فناوری‌های نوین;درصد اجرای فناوری‌های جدید | استفاده و توسعه فناوری‌های نوین | نمره عملکرد پروژه‌ها و فرآیندها | کارایی عملیاتی فرآیندها | واریانس زمان بندی پروژه | واریانس هزینه یابی پروژه | ارزش کسب شده | نمره کیفیت محصولات و خدمات | کیفیت محصولات، خدمات و فرآیندها | درصد استفاده از فناوری برای ایجاد ارزش پایدار | مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.6;مدیریت خدمات فناوری اطلاعات و ارتباطات;گزارش خدمات IT (خرید، نصب، توسعه سخت‌افزار و نرم‌افزار) | مستندات طرح ICT Master Plan و فرایندهای مدون;ارائه خدمات IT نظیر خرید و نصب و توسعه سخت افزاری و نرم افزاری و شبکه و دسترس پذیری دفتر مرکزی و پروژه ها مبتنی بر طرح ICT Master Plan و فرایندهای مدون;مدیریت فناوری اطلاعات و ارتباطات (SOP-326);ارائه خدمات IT مبتنی بر طرح ICT Master Plan و فرایندهای مدون|توسعه فناوری اطلاعات;توسعه زیرساخت‌های فناوری اطلاعات;هزینه های فناوری اطلاعات به عنوان درصدی از درآمد | واریانس هزینه های پروژه های فناوری اطلاعات | واریانس زمان برنامه ریزی پروژه های فناوری اطلاعات | ارزش کسب شده ناشی از پروژه های فناوری اطلاعات | تعداد نقایص امنیتی در حوزه فناوری اطلاعات | اثربخشی فناوری اطلاعات در مدیریت درخواست ها | رضایت از خدمات فناوری اطلاعات داخلی | زمان از کار افتادگی سیستم | عدم دسترس پذیری وب سایت | نسبت سازگاری با معماری سازمانی | نسبت پایداری فناوری اطلاعات | متوسط دوره عمر زیرساخت های فناوری اطلاعات | متوسط دوره عمر نرم افزارهای سازمانی;;
5. هدایت عملکرد و تحول;5-ج: هدایت نوآوری و فناوری;5.3.7;نظام مدیریت فناوری;ارزیابی و انتخاب فناوری‌های نوین | گزارش مدیریت چرخه عمر فناوری‌ها و بهینه‌سازی بهره‌وری;ارزیابی و انتخاب فناوری‌های جدید و نوآورانه برای پیاده‌سازی در سازمان از طریق تحلیل هزینه-سود. مدیریت و بهینه‌سازی چرخه عمر فناوری‌ها به‌منظور افزایش بهره‌وری از طریق نظارت و ارزیابی مستمر.;مدیریت فناوری (5.3.7)| تحقیق و توسعه (COP-241);ارزیابی و انتخاب فناوری‌های نوآورانه| مدیریت چرخه عمر فناوری|توسعه فناوری اطلاعات;افزایش بهره‌وری فناوری;نرخ بازده سرمایه گذاری در حوزه نوآوری | درصد اجرای فناوری‌های جدید | استفاده و توسعه فناوری‌های نوین | توسعه فناوری و اطلاعات | میزان پذیرش و اجرای فناوری‌های جدید و تغییرات در تأمین‌کنندگان | ارتقای توانمندی‌ها و مهارت‌های تأمین‌کنندگان و شرکا | بهره‌وری کل | بهره‌وری نیروی انسانی | کارایی عملیاتی فرآیندها | متوسط دوره عمر زیرساخت های فناوری اطلاعات | متوسط دوره عمر نرم افزارهای سازمانی | نسبت پایداری فناوری اطلاعات;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.1;سیستم های اطلاعاتی;مستندات استقرار سامانه‌های نرم‌افزاری و بانک اطلاعات | گزارش PMIS و اتوماسیون مکاتبات;استقرار سامانه های متعدد نرم افزاری و بانک اطلاعات همکاران سیستم و PMIS و اتوماسیون مکاتبات و غیره;سیستم‌های اطلاعاتی (5.4.1)| مدیریت فناوری اطلاعات و ارتباطات (SOP-326);استقرار سامانه‌های نرم‌افزاری و اتوماسیون مکاتبات|توسعه فناوری اطلاعات;توسعه زیرساخت‌های فناوری اطلاعات;هزینه های فناوری اطلاعات به عنوان درصدی از درآمد | اثربخشی فناوری اطلاعات در مدیریت درخواست ها | رضایت از خدمات فناوری اطلاعات داخلی | زمان از کار افتادگی سیستم | عدم دسترس پذیری وب سایت | نسبت سازگاری با معماری سازمانی | مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | رضایت از ارائه خدمات الکترونیکی | رضایت از سیستم اطلاع‌رسانی;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.2;استفاده از تحلیل‌های پیشرفته;گزارش بهره‌برداری از تحلیل‌های پیشرفته در حوزه‌های بازار، مالی، سرمایه‌گذاری و مدیریت پروژه‌ها;بهره‌برداری از تحلیل‌های پیشرفته برای استخراج اطلاعات ارزشمند از داده‌ها در حوزه های بازار مسکن و امور مالی و سرمای گذاری و امکان سنجی و مدیریت پروژه ها و طراحی و مهندسی;تحلیل داده‌ها (5.4.2)| رصد بازار و کشف فرصت (COP-211);بهره‌برداری از تحلیل داده‌ها در حوزه‌های مختلف|توسعه فناوری اطلاعات;افزایش کیفیت تصمیم‌گیری;نمره تحلیل داده‌ها و روندهای فناوری | نمره پیش‌بینی تغییرات محیط زیست و بازار | سهم بازار | رشد سهم بازار | فروش (درآمد) | رشد فروش | سود خالص | حاشیه سود خالص | نرخ بازده سرمایه گذاری | ارزش افزوده اقتصادی | نمره عملکرد پروژه‌ها و فرآیندها | واریانس هزینه یابی پروژه | واریانس زمان بندی پروژه | عملکرد بودجه نسبت به برنامه‌ریزی‌ها;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.3;مدیریت دانش;طرحریزی نظام مدیریت دانش | مستندات کمیته دانش و فرم‌های سازمانی;طرحریزی نظام مدیریت دانش مبتنی بر فرایند و رویه مدون و اجرای فرم های سازمانی و کمیته دانش برای کارکنان و سایر ذینفعان نظیر مشااورین و پیمانکاران;مدیریت دانش (SOP-326)| پایش-تحلیل و بهبود مستمر (MOP-112);طرحریزی نظام مدیریت دانش| کمیته‌های دانش|توسعه دانش سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | انتقال دانش و تجربیات بین کارکنان | افزایش دانش فردی و سازمانی | میزان یادگیری و آموزش مستمر کارکنان | میانگین نمره آموزش و توسعه کارکنان | فرصت‌های آموزش و توانمندسازی کارکنان | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | رضایت از توسعه مهارت‌ها و آموزش;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.4;مستندسازی تجربیات;فیلم و مستندات مکتوب تجربیات کارکنان | گزارش مصاحبه‌ها و تکمیل فرم‌ها;مستندسازی تجربیات کارکنان به صورت فیلم و مکتوب از طریق مصاحبه و تکمیل فرم های مربوطه;مدیریت دانش (SOP-326)| مستندسازی و بایگانی (5.4.7);مستندسازی تجربیات کارکنان به صورت فیلم و مکتوب|توسعه دانش سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | انتقال دانش و تجربیات بین کارکنان | افزایش دانش فردی و سازمانی | میانگین نمره آموزش و توسعه کارکنان | میزان یادگیری و آموزش مستمر کارکنان | فرصت‌های آموزش و توانمندسازی کارکنان | رضایت از تخصص و دانش کارکنان | بهره‌وری و کارایی نیروی انسانی | ارزش افزوده سرمایه انسانی;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.5;شبکه اشتراک مستندات;بستر اشتراک مستندات و فایل‌ها | مستندات امنیت و سطوح دسترسی امن;بستر اشتراک مستندات و فایل ها بین گروه ها و واحدهای سازمانی تحت شبکه بین دفتر مرکزی و سایت پروژه ها میان کارکنان و ذینفعان کلیدی با رعایت سطوح دسترسی امن;مدیریت دانش (SOP-326)| سیستم‌های اطلاعاتی (5.4.1);بستر اشتراک مستندات و فایل‌ها با رعایت امنیت|توسعه دانش سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | انتقال دانش و تجربیات بین کارکنان | اثربخشی کانال‌های ارتباطی بین کارکنان و مدیریت | نمره اثربخشی ارتباطات درون‌سازمانی | رضایت از ارتباطات داخلی | زمان از کار افتادگی سیستم | عدم دسترس پذیری وب سایت | تعداد نقایص امنیتی در حوزه فناوری اطلاعات | رضایت از خدمات فناوری اطلاعات داخلی;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.6;امنیت سایبری اطلاعات;ابزارهای فایروال، آنتی ویروس و بکاپ‌گیری | گزارش مانیتورینگ و کنترل حملات سایبری;استفاده از ابزارهای فایروال و آنتی ویروس و بکاپ گیری های منظم و مانیتورینگ دائم شبکه به لحاظ کنترل حملات سایبری;امنیت اطلاعات (SOP-327)| فناوری اطلاعات و ارتباطات (SOP-326);استفاده از ابزارهای امنیتی و مانیتورینگ شبکه|توسعه فناوری اطلاعات;حفاظت از اطلاعات سازمان;تعداد نقایص امنیتی در حوزه فناوری اطلاعات | زمان از کار افتادگی سیستم | عدم دسترس پذیری وب سایت | شاخص وضوح حادثه | تعداد حوادث | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | رضایت از خدمات فناوری اطلاعات داخلی | نسبت پایداری فناوری اطلاعات | امتیاز تطابقات قانونی | درصد انطباق با مقررات;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.7;مرکز کنترل مستندات DCC;نرم‌افزار ثبت، بایگانی و کنترل نسخه مستندات | مستندات فنی، مهندسی و اجرایی;ثبت و بایگانی و کنترل نسخه های مختلف مستندات و مدارک فنی و مهندسی و اجرایی در قالب نرم افزار DCC;مدیریت مستندات (5.4.7)| فناوری اطلاعات و ارتباطات (SOP-326);ثبت و بایگانی مستندات فنی و مهندسی با نرم‌افزار DCC|توسعه دانش سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;مدیریت دانش و اطلاعات سازمانی | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | نمره کیفیت محصولات و خدمات | کیفیت محصولات، خدمات و فرآیندها | کارایی عملیاتی فرآیندها | نمره عملکرد پروژه‌ها و فرآیندها | رضایت از خدمات فناوری اطلاعات داخلی | اثربخشی فناوری اطلاعات در مدیریت درخواست ها | انتقال دانش و تجربیات بین کارکنان | چرخه زمانی اتمام درخواست;;
5. هدایت عملکرد و تحول;5-د: استفاده بهینه از داده‌ها، اطلاعات و دانش;5.4.8;انتشار دانش و مالکیت معنوی;سیاست‌های حریم خصوصی و حفظ مالکیت معنوی | مستندات انتشار دانش در بسترهای داخلی و بیرونی;رعایت اصول اخلاقی و قانونی در جمع‌آوری و استفاده از داده‌ها از طریق تدوین سیاست‌های حریم خصوصی و حفظ مالکیت معنوی صاحبین اثر و انتشار از طریق بسترهای داخلی و بیرونی;مدیریت دانش (SOP-326)| حقوق مالکیت فکری (SOP-328);تدوین سیاست‌های حریم خصوصی و حفظ مالکیت معنوی|توسعه دانش سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده | مدیریت دانش و اطلاعات سازمانی | انتقال دانش و تجربیات بین کارکنان | درصد انطباق با مقررات | امتیاز تطابقات قانونی | رعایت رفتار اخلاقی در فعالیت‌های سازمانی | نمره شفافیت و رفتار اخلاقی در جامعه | شاخص شفافیت و پاسخگویی در مدیریت | حمایت از فعالیت‌های آموزشی، فرهنگی، علمی و پژوهشی | همکاری با تشکل‌ها و مجامع حرفه‌ای مرتبط;;
5. هدایت عملکرد و تحول;5-هـ: مدیریت دارایی‌ها و منابع;5.5.1;نظام مدیریت مالی;برنامه‌ریزی مالی و بودجه‌بندی | مستندات مدیریت بهینه منابع مالی;مدیریت و استفاده بهینه از منابع مالی به‌منظور افزایش کارایی از طریق برنامه‌ریزی مالی و بودجه‌بندی;مدیریت مالی (SOP-331)| برنامه‌ریزی مالی (MOP-115);برنامه‌ریزی مالی| بودجه‌بندی و کنترل منابع|مدیریت مالی;افزایش کارایی مالی;فروش (درآمد) | رشد فروش | سود خالص | حاشیه سود خالص | حاشیه سود ناخالص | نرخ بازده سرمایه گذاری | ارزش افزوده اقتصادی | حاشیه درآمد خالص | نرخ بازده دارایی ها | نسبت هزینه های عملیاتی | چرخه تبدیل به نقد | نسبت سرمایه کاری | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | تأمین و تخصیص منابع مالی بهینه | نسبت‌های مالی و جریان نقدینگی | میزان جریان نقدی سازمان;;
5. هدایت عملکرد و تحول;5-هـ: مدیریت دارایی‌ها و منابع;5.5.2;تامین مالی;مستندات استفاده از روش‌های نوین تامین مالی | تحلیل ریسک‌ها و اصول سرمایه‌گذاری;استفاده از ابزارها و روش های نوین در تامین مالی با در نظر گرفتن ریسک ها و اصول سرمایه گذاری به طور مثال سرمایه گذاری جمعی و صندوق های کوچک مسکن و ...;تامین مالی (SOP-332)| مدیریت ریسک (MOP-133);استفاده از روش‌های نوین تامین مالی با ارزیابی ریسک|مدیریت مالی;افزایش منابع مالی;نرخ بازده سرمایه گذاری | ارزش افزوده اقتصادی | نسبت بدهی ها به حقوق صاحبان سهام | چرخه تبدیل به نقد | نسبت سرمایه کاری | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | میزان سرمایه‌گذاری‌های انجام شده | تأمین و تخصیص منابع مالی بهینه | نتایج حسابرسی‌های بیرونی و اعتبار مالی | درصد بازگشت سرمایه | میزان بازگشت سرمایه و بازده حقوق صاحبان سهام;;
